timestamp,open,high,low,close,volume
2024-08-10 00:00:00,2598.79000000,2644.70000000,2576.49000000,2602.59000000,41781.15590000
2024-08-10 04:00:00,2602.60000000,2637.00000000,2588.40000000,2634.27000000,24360.37760000
2024-08-10 08:00:00,2634.27000000,2642.84000000,2623.00000000,2636.58000000,23580.28010000
2024-08-10 12:00:00,2636.58000000,2637.89000000,2597.00000000,2599.49000000,21751.90030000
2024-08-10 16:00:00,2599.50000000,2622.84000000,2589.51000000,2603.01000000,42801.01150000
2024-08-10 20:00:00,2603.01000000,2618.00000000,2596.21000000,2609.92000000,16737.63650000
2024-08-11 00:00:00,2609.92000000,2668.28000000,2606.02000000,2646.38000000,29621.31650000
2024-08-11 04:00:00,2646.39000000,2683.15000000,2634.00000000,2677.79000000,31780.38450000
2024-08-11 08:00:00,2677.80000000,2720.00000000,2644.91000000,2652.61000000,59099.65870000
2024-08-11 12:00:00,2652.60000000,2655.80000000,2594.46000000,2614.07000000,56736.46220000
2024-08-11 16:00:00,2614.07000000,2645.92000000,2596.33000000,2599.06000000,50953.59360000
2024-08-11 20:00:00,2599.06000000,2602.91000000,2540.00000000,2555.38000000,68907.49900000
2024-08-12 00:00:00,2555.38000000,2577.90000000,2510.05000000,2541.02000000,58146.02020000
2024-08-12 04:00:00,2541.03000000,2582.75000000,2516.36000000,2567.27000000,43215.67120000
2024-08-12 08:00:00,2567.27000000,2683.20000000,2558.54000000,2673.60000000,89661.58960000
2024-08-12 12:00:00,2673.60000000,2723.70000000,2592.58000000,2689.20000000,160424.40420000
2024-08-12 16:00:00,2689.20000000,2698.87000000,2627.89000000,2660.09000000,52993.23640000
2024-08-12 20:00:00,2660.09000000,2750.00000000,2658.13000000,2722.30000000,78973.32900000
2024-08-13 00:00:00,2722.30000000,2738.40000000,2650.61000000,2656.39000000,75847.87860000
2024-08-13 04:00:00,2656.38000000,2664.00000000,2635.13000000,2648.94000000,36317.38480000
2024-08-13 08:00:00,2648.95000000,2658.34000000,2611.37000000,2644.65000000,36586.18920000
2024-08-13 12:00:00,2644.66000000,2674.99000000,2630.91000000,2652.00000000,58394.30270000
2024-08-13 16:00:00,2652.00000000,2730.28000000,2650.00000000,2711.46000000,80433.54720000
2024-08-13 20:00:00,2711.46000000,2734.00000000,2692.85000000,2702.44000000,38089.39390000
2024-08-14 00:00:00,2702.44000000,2725.40000000,2685.80000000,2709.39000000,29788.43780000
2024-08-14 04:00:00,2709.40000000,2750.00000000,2707.72000000,2727.57000000,45833.58260000
2024-08-14 08:00:00,2727.56000000,2764.05000000,2715.00000000,2750.24000000,57437.16130000
2024-08-14 12:00:00,2750.24000000,2780.00000000,2632.20000000,2674.21000000,142243.99320000
2024-08-14 16:00:00,2674.22000000,2674.22000000,2641.40000000,2669.06000000,38939.51010000
2024-08-14 20:00:00,2669.06000000,2679.81000000,2641.30000000,2661.45000000,24566.02910000
2024-08-15 00:00:00,2661.45000000,2673.57000000,2634.00000000,2652.50000000,35244.06350000
2024-08-15 04:00:00,2652.49000000,2656.62000000,2589.00000000,2615.16000000,47768.03280000
2024-08-15 08:00:00,2615.16000000,2644.10000000,2604.30000000,2637.73000000,32083.27460000
2024-08-15 12:00:00,2637.73000000,2675.60000000,2633.00000000,2668.40000000,57024.94250000
